 * Serving Flask app "server.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://130.113.68.111:8000/ (Press CTRL+C to quit)
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=82 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=83 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=84 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=85 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=86 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=87 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=88 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=89 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=90 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=91 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=92 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=93 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=94 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=95 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=96 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=97 HTTP/1.1" 200 -
130.113.70.51 - - [21/Aug/2018 16:58:40] "GET /sendData?numData=1&type1=EC&id1=02&value1=98 HTTP/1.1" 200 -
